   1: x:-0.4188, y:-0.7449, t:0.5528
   2: x:-0.6628, y:-0.7538, t:0.6375
   3: x:-0.2831, y:-0.7737, t:0.7525
   4: x:-0.5776, y:-0.8065, t:0.6748
   5: x:-0.6734, y:-0.7969, t:0.6035
   6: x:-0.9647, y:-0.7973, t:0.6787
   7: x:-1.0043, y:-0.8216, t:0.6716
   8: x:-1.0210, y:-0.7860, t:0.6072
   9: x:-1.2453, y:-0.7691, t:0.5798
  10: x:-1.2589, y:-0.3387, t:0.4487
  11: x:-0.9937, y:-0.7429, t:0.5084
  12: x:-1.2829, y:-0.0856, t:0.4917
  13: x:-1.2786, y:0.0622, t:0.2866
  14: x:-1.3206, y:0.7554, t:0.3365
  15: x:-0.0740, y:2.7953, t:0.0603
  16: x:-0.1600, y:2.7442, t:0.0375
  17: x:-0.0307, y:2.7980, t:0.0201
  18: x:0.2363, y:2.8143, t:-0.0997
  19: x:0.1143, y:2.8062, t:-0.0391
  20: x:0.3509, y:2.7566, t:-0.1656
  21: x:0.2804, y:2.7978, t:-0.1622
  22: x:0.4413, y:2.7562, t:-0.2021
  23: x:0.4515, y:2.7432, t:-0.1800
  24: x:0.6188, y:2.8250, t:-0.2568
  25: x:0.6591, y:2.8422, t:-0.1747
  26: x:0.2049, y:2.8183, t:0.3050
  27: x:-0.1526, y:2.8048, t:0.5645
  28: x:-0.3409, y:2.7712, t:0.7812
  29: x:-0.1927, y:2.7667, t:0.7879
  30: x:0.5131, y:2.8011, t:0.8140
  31: x:0.1856, y:2.7565, t:0.8740
  32: x:0.1064, y:2.7446, t:0.9135
  33: x:0.2607, y:2.7438, t:0.8978
  34: x:-1.2493, y:1.8254, t:0.9672
  35: x:1.2527, y:1.1488, t:0.4546
  36: x:0.2177, y:2.7712, t:0.9401
  37: x:0.6996, y:2.9082, t:0.9281
  38: x:0.7204, y:2.9831, t:0.9253
  39: x:1.2697, y:1.6936, t:0.6600
  40: x:1.2436, y:1.4819, t:0.5450
  41: x:0.2822, y:2.7715, t:0.9593
  42: x:0.4689, y:2.7979, t:0.9367
  43: x:0.2745, y:2.7498, t:0.9630
  44: x:-1.2446, y:1.5865, t:0.9032
  45: x:0.5095, y:2.7770, t:0.9237
  46: x:-1.2791, y:2.0019, t:0.9392
  47: x:0.0833, y:2.7600, t:0.9129
  48: x:0.1489, y:2.7665, t:0.9196
  51: x:0.6988, y:2.8359, t:0.7221
  52: x:0.4607, y:2.7459, t:0.9425
  53: x:0.2662, y:2.7485, t:0.9396
  54: x:0.7105, y:2.9172, t:0.8642
  55: x:0.4842, y:2.7692, t:0.8573
  56: x:0.7409, y:3.1189, t:0.8616
  57: x:0.6510, y:2.8274, t:0.7957
  58: x:0.7576, y:3.3077, t:0.7611
  59: x:0.0724, y:-0.7485, t:-0.7187
  60: x:0.7570, y:3.5633, t:0.9081
  61: x:1.2445, y:3.4659, t:0.1885
  64: x:0.6208, y:2.7945, t:0.7961
 114: x:1.2456, y:0.4872, t:0.4442
 115: x:-0.4473, y:2.7513, t:0.7951
 116: x:1.2452, y:1.0192, t:0.9573
 117: x:1.2418, y:0.6775, t:0.9464
 118: x:1.2423, y:1.0396, t:0.9447
 119: x:1.2675, y:0.6641, t:0.9015
 120: x:1.2442, y:0.5816, t:0.9268
 121: x:1.2521, y:0.4368, t:0.8415
 122: x:1.2552, y:0.6629, t:0.7773
 123: x:1.2645, y:0.2170, t:0.6954
 124: x:1.2715, y:0.2637, t:0.7094
 125: x:1.2895, y:0.2445, t:0.7534
 126: x:1.2656, y:0.0154, t:0.9526
 127: x:1.2466, y:0.1297, t:0.7664
 128: x:1.2483, y:0.4586, t:0.7461
 129: x:1.2669, y:0.0025, t:0.7471
 130: x:1.2551, y:-0.0635, t:0.7858
 131: x:1.2671, y:-0.4060, t:0.9559
 132: x:1.2974, y:0.2101, t:0.5957
 133: x:1.2865, y:0.0052, t:0.6737
 134: x:1.2591, y:0.3084, t:0.7988
 135: x:1.2725, y:-0.3395, t:0.6568
 136: x:1.2501, y:-0.2686, t:0.7838
 137: x:1.2639, y:-0.2465, t:0.5550
 138: x:1.2891, y:0.0274, t:0.6252
 139: x:1.2539, y:-0.3056, t:0.5952
 140: x:1.2817, y:-0.2607, t:0.5731
 141: x:1.2553, y:-0.2149, t:0.6650
 142: x:1.2718, y:-0.4874, t:0.7049
 143: x:1.2434, y:-0.0142, t:0.6836
 144: x:-1.2430, y:-0.3729, t:-0.0641
 146: x:1.2898, y:-0.2341, t:0.7002
 147: x:1.2538, y:0.7397, t:0.6274
 148: x:-1.2660, y:-0.7160, t:-0.4645
 149: x:-1.2838, y:1.5839, t:-0.7274
 151: x:1.3239, y:1.3725, t:0.7713
