   1: x:1.2486, y:0.3722, t:0.4038
   2: x:1.3258, y:0.3297, t:0.3847
   3: x:1.2580, y:0.5057, t:0.4700
   4: x:1.3344, y:0.5378, t:0.5089
   5: x:1.2542, y:0.5724, t:0.5499
   6: x:1.3331, y:0.3296, t:0.3857
   7: x:1.3193, y:0.5313, t:0.5191
   8: x:1.3150, y:0.2984, t:0.6101
   9: x:1.2911, y:0.2170, t:0.3788
  10: x:1.3114, y:0.0733, t:0.3478
  11: x:1.2456, y:0.4608, t:0.4518
  12: x:1.2499, y:0.9940, t:0.5927
  13: x:1.2924, y:0.5358, t:0.5195
  14: x:1.2490, y:0.6013, t:0.4566
  15: x:1.3139, y:0.8170, t:0.5442
  16: x:1.3009, y:0.7293, t:0.4820
  17: x:1.2619, y:0.3680, t:0.5408
  18: x:1.2749, y:0.8270, t:0.5852
  19: x:1.2414, y:0.9583, t:0.4782
  20: x:1.3020, y:0.5111, t:0.4963
  21: x:1.3081, y:0.5227, t:0.4431
  22: x:1.2636, y:0.1220, t:0.4759
  23: x:1.2741, y:0.9057, t:0.5244
  24: x:1.3301, y:0.5941, t:0.5212
  25: x:1.2421, y:0.4703, t:0.4609
  26: x:1.2485, y:0.4671, t:0.4418
  27: x:1.3112, y:0.6203, t:0.5434
  28: x:1.2642, y:1.0860, t:0.5759
  29: x:1.2453, y:0.8500, t:0.5277
  30: x:1.2426, y:0.4989, t:0.4730
  31: x:1.2652, y:1.0676, t:0.6046
  32: x:1.2765, y:0.3961, t:0.4208
  33: x:1.2637, y:0.9054, t:0.4794
  34: x:1.2967, y:0.4930, t:0.3514
  35: x:1.2550, y:0.5198, t:0.4451
  36: x:1.2475, y:0.6802, t:0.4753
  37: x:1.3047, y:0.6080, t:0.4374
  38: x:1.2861, y:0.3636, t:0.3922
  39: x:1.2404, y:0.3173, t:0.2805
  40: x:1.2800, y:0.4898, t:0.3917
  41: x:1.2498, y:1.0965, t:0.5002
  42: x:1.2930, y:0.8284, t:0.3689
  43: x:1.3113, y:0.6949, t:0.1909
  44: x:1.2924, y:0.7936, t:0.1809
  45: x:1.2423, y:0.7290, t:0.1724
  46: x:1.2655, y:0.8900, t:0.1515
  47: x:1.2561, y:0.9040, t:0.1035
  48: x:1.2789, y:1.3686, t:0.1497
  49: x:1.2495, y:1.6890, t:0.1694
  50: x:1.2512, y:2.3621, t:0.1293
  51: x:1.2515, y:1.9104, t:0.1114
  52: x:1.2569, y:1.6464, t:0.0702
  53: x:1.2717, y:1.7691, t:0.0812
  54: x:1.2671, y:2.2455, t:0.0993
  55: x:1.2669, y:1.3632, t:0.0920
  56: x:1.2479, y:1.4510, t:0.0874
  57: x:1.2862, y:1.8517, t:0.0747
  58: x:1.2752, y:2.0686, t:0.0592
  59: x:1.2759, y:2.0297, t:0.0475
  60: x:1.2578, y:1.7364, t:-0.0176
  61: x:1.2951, y:1.8709, t:-0.0092
  62: x:1.2492, y:2.3751, t:-0.0133
  63: x:0.6337, y:2.8260, t:-0.0243
  64: x:1.2494, y:2.6396, t:-0.0695
  65: x:1.2874, y:2.3676, t:-0.0586
  66: x:1.2611, y:2.1479, t:-0.0637
  67: x:1.2828, y:2.3161, t:-0.0706
  68: x:1.2747, y:1.8433, t:-0.0210
  69: x:1.2439, y:2.1523, t:-0.0508
  70: x:1.3031, y:1.7068, t:-0.0129
  71: x:1.2461, y:1.6790, t:-0.0260
  72: x:1.2457, y:2.2173, t:-0.0072
  73: x:1.2569, y:3.0589, t:-0.0395
  74: x:1.2517, y:4.4074, t:-0.0733
  75: x:0.6135, y:2.7729, t:-0.0119
  76: x:0.5148, y:2.7549, t:-0.0316
  77: x:0.3370, y:2.7836, t:0.0541
  78: x:0.6785, y:2.8694, t:-0.0173
  79: x:0.5539, y:2.7626, t:0.0471
  80: x:0.5754, y:2.8544, t:0.0519
  81: x:0.5510, y:2.8449, t:0.0604
  82: x:0.2463, y:2.7692, t:0.0879
  83: x:0.0545, y:2.7793, t:0.1353
  84: x:-0.0339, y:2.8233, t:0.1914
  85: x:-0.2482, y:2.8249, t:0.2180
  86: x:-0.3277, y:2.7971, t:0.2353
  87: x:-0.2993, y:2.7426, t:0.1992
  88: x:-0.4844, y:2.8049, t:0.2392
  89: x:-1.2926, y:3.5363, t:0.2328
  90: x:-0.5942, y:2.7787, t:0.1757
  91: x:-0.7384, y:2.9302, t:0.1838
  92: x:-0.5454, y:2.7550, t:0.1622
  93: x:-1.3334, y:3.3357, t:0.2919
  94: x:-0.5575, y:2.7811, t:0.2278
  95: x:-0.6147, y:2.8300, t:0.2478
  96: x:-1.2761, y:3.1900, t:0.2901
  97: x:-0.3957, y:2.7628, t:0.2632
  98: x:-1.3171, y:3.6464, t:0.3709
  99: x:-0.4328, y:2.8034, t:0.2564
 100: x:-0.4908, y:2.7938, t:0.2570
