   1: x:-0.5052, y:-0.7505, t:0.6277
   2: x:-0.5562, y:-0.7426, t:0.6681
   3: x:-0.7902, y:-0.7447, t:0.6087
   4: x:-0.8363, y:-0.8064, t:0.6628
   5: x:-0.7948, y:-0.7997, t:0.6957
   6: x:-1.2643, y:0.9359, t:0.5059
   7: x:-1.2987, y:0.5473, t:0.5548
   8: x:-1.2428, y:0.5277, t:0.5762
   9: x:-1.3191, y:0.4621, t:0.5391
  10: x:-1.2493, y:0.9976, t:0.4594
  11: x:-1.2633, y:1.1973, t:0.3692
  12: x:-1.2421, y:1.2639, t:0.2297
  13: x:-1.2847, y:1.4871, t:0.1760
  14: x:-1.2586, y:2.7096, t:-0.2872
  15: x:-0.4656, y:2.6013, t:-0.3741
  16: x:-0.7163, y:2.6299, t:-0.3147
  17: x:-0.7411, y:4.9072, t:-0.4856
  18: x:-0.5760, y:2.5490, t:-0.4154
  19: x:-0.7890, y:2.5784, t:-0.4237
  20: x:-1.0213, y:2.5574, t:-0.4166
  21: x:-0.9087, y:2.5964, t:-0.3913
  22: x:-0.7442, y:4.1910, t:-0.4522
  23: x:-0.8001, y:6.7880, t:-0.5283
  24: x:-0.7440, y:2.9321, t:-0.2684
  25: x:-1.2466, y:3.2445, t:-0.1463
  26: x:-1.2743, y:2.5727, t:-0.0673
  27: x:-1.2695, y:3.5853, t:-0.1077
  28: x:-0.6996, y:2.6050, t:-0.1933
  29: x:-0.5644, y:2.5735, t:0.0539
  30: x:-0.2391, y:2.6459, t:0.1150
  31: x:-0.6937, y:2.5836, t:0.1519
  32: x:-0.0884, y:2.6337, t:0.0292
  33: x:-0.3816, y:2.5759, t:0.0502
  34: x:-1.2558, y:4.0576, t:0.1961
  35: x:-0.1997, y:2.6109, t:0.0595
  36: x:-0.6476, y:2.5546, t:0.2479
  37: x:-0.3444, y:2.5664, t:0.2178
  38: x:-0.3101, y:2.5528, t:0.2086
  39: x:-0.5785, y:2.5583, t:0.2123
  40: x:-0.2458, y:2.6152, t:0.2509
  41: x:-0.2248, y:2.5643, t:0.2755
  42: x:-0.4677, y:2.5778, t:0.3473
  43: x:-0.5021, y:2.5641, t:0.3767
  44: x:-0.3032, y:2.8162, t:0.3657
  45: x:0.1840, y:2.5436, t:0.2146
  46: x:-0.1022, y:2.5787, t:0.3738
  47: x:0.5343, y:2.5858, t:0.1789
  48: x:0.1815, y:2.5525, t:0.3930
  49: x:0.8686, y:2.6213, t:0.3212
  50: x:0.3824, y:2.6192, t:0.5467
  51: x:0.5614, y:2.7580, t:0.2867
  52: x:0.6040, y:2.5859, t:0.4734
  53: x:0.6055, y:2.5760, t:0.3974
  54: x:0.7024, y:2.7080, t:0.3505
  55: x:0.1642, y:2.5479, t:0.8045
  56: x:0.7878, y:2.6323, t:0.7772
  57: x:0.9555, y:3.1265, t:0.9303
  58: x:0.9828, y:2.6015, t:0.8263
  59: x:0.7161, y:3.6583, t:0.9998
  60: x:0.8152, y:2.5473, t:0.8724
  61: x:1.2535, y:1.1643, t:0.5811
  62: x:1.2557, y:1.2843, t:0.5549
  63: x:0.9768, y:2.6335, t:0.9183
  64: x:1.2647, y:1.3761, t:0.5503
  65: x:1.2414, y:1.0962, t:0.5063
  66: x:1.2791, y:1.1147, t:0.4945
  67: x:1.2456, y:1.6571, t:0.6042
  68: x:1.2455, y:1.6566, t:0.6296
  69: x:0.8080, y:2.6090, t:0.9082
  70: x:0.7374, y:3.4994, t:0.9980
  71: x:1.2619, y:2.1606, t:0.7392
  72: x:1.2422, y:2.3405, t:0.7401
  73: x:-0.5824, y:2.5415, t:-0.2239
  74: x:-1.2477, y:1.7873, t:-0.3563
  75: x:-1.2523, y:0.4286, t:-0.3821
  76: x:-1.2568, y:0.6080, t:-0.3917
  77: x:-1.2752, y:0.2944, t:-0.3430
  78: x:-1.3164, y:0.6605, t:-0.2645
  79: x:-1.3256, y:0.2072, t:-0.3191
  80: x:-1.2602, y:0.2060, t:-0.2173
  81: x:-1.2628, y:0.2935, t:-0.2871
  82: x:-1.2514, y:0.5431, t:-0.2384
  83: x:-1.3252, y:0.3810, t:-0.2595
  84: x:-1.2585, y:0.3111, t:-0.3151
  85: x:-1.2512, y:0.5018, t:-0.3309
  86: x:-1.2634, y:0.5031, t:-0.2985
  87: x:-1.2803, y:0.8852, t:-0.3293
  88: x:-1.2771, y:1.3698, t:-0.4334
  89: x:-1.2457, y:1.7614, t:-0.3152
  90: x:-0.7952, y:-0.7522, t:-0.8101
  91: x:-0.8411, y:2.6451, t:-0.5266
  92: x:-0.7958, y:2.5830, t:-0.4417
  93: x:-1.2574, y:2.5647, t:-0.5426
  94: x:-0.8470, y:2.5953, t:-0.6815
  95: x:-1.3024, y:1.1944, t:-0.2106
  96: x:-1.2657, y:0.9373, t:-0.1569
  97: x:-1.2732, y:2.0090, t:-0.5615
  98: x:-1.3093, y:1.0446, t:-0.3070
  99: x:-1.2433, y:1.5110, t:-0.5349
 100: x:-1.2917, y:1.3652, t:-0.5022
 101: x:-1.2839, y:0.9801, t:-0.3955
 102: x:-1.2649, y:1.6074, t:-0.5084
 103: x:-1.1839, y:2.5786, t:-0.7647
 104: x:-1.2579, y:2.6786, t:-0.7819
 105: x:1.2651, y:6.3383, t:0.8316
 106: x:-0.7487, y:3.8726, t:0.9801
 107: x:-0.9502, y:2.5800, t:-0.6142
 108: x:-0.8582, y:2.6175, t:-0.7328
 109: x:-0.7002, y:2.8896, t:-0.5940
 110: x:-1.2492, y:2.2737, t:-0.6152
 111: x:-0.6632, y:2.8218, t:-0.4354
 112: x:-1.2790, y:1.2656, t:-0.4136
 113: x:-1.2918, y:1.9073, t:-0.4845
 114: x:-1.2465, y:2.9883, t:-0.7678
 115: x:-0.7290, y:2.5531, t:-0.5533
 116: x:-0.7572, y:3.0825, t:0.9375
 117: x:-1.2494, y:1.6604, t:-0.4429
 118: x:-1.2390, y:2.6205, t:-0.6294
 119: x:-1.2465, y:2.1045, t:-0.6186
 120: x:-1.2666, y:2.2885, t:-0.2156
 121: x:-1.2611, y:1.5146, t:-0.4579
 122: x:-1.2564, y:0.8632, t:-0.3682
 123: x:-1.2841, y:0.6407, t:-0.2481
 124: x:-0.8790, y:2.6285, t:-0.8175
 125: x:-0.8482, y:2.5765, t:-0.8377
