   1: x:-0.4809, y:-0.8351, t:0.3547
   2: x:-0.2979, y:-0.8391, t:0.3585
   3: x:-0.6237, y:-0.8275, t:0.3982
   4: x:-0.3287, y:-0.7527, t:0.0581
   5: x:-0.8404, y:-0.8193, t:0.4227
   6: x:-0.5740, y:-0.8169, t:0.3413
   7: x:-0.3646, y:-0.7579, t:0.2141
   8: x:-0.5566, y:-0.8024, t:0.4696
   9: x:-0.5361, y:-0.7819, t:0.4504
  10: x:-0.2656, y:-0.7994, t:0.5359
  11: x:-0.0846, y:2.5543, t:0.9176
  12: x:-1.0034, y:2.5681, t:0.9286
  13: x:-0.1802, y:2.5417, t:0.9389
  14: x:-0.3728, y:2.5540, t:0.9194
  15: x:0.2348, y:2.5502, t:0.9084
  16: x:1.2676, y:1.6771, t:0.7640
  17: x:0.9832, y:2.9318, t:0.9606
  18: x:1.2797, y:1.4214, t:0.7050
  19: x:1.3096, y:0.9656, t:0.6274
  20: x:1.2829, y:1.2329, t:0.6726
  21: x:1.2629, y:0.8727, t:0.6180
  22: x:1.3175, y:0.8762, t:0.6363
  23: x:1.2657, y:0.8905, t:0.6307
  24: x:1.2843, y:0.5462, t:0.5542
  25: x:1.3242, y:1.0574, t:0.6794
  26: x:1.2684, y:0.9896, t:0.5951
  27: x:1.2540, y:0.8428, t:0.6154
  28: x:1.2606, y:0.8889, t:0.5709
  29: x:1.2732, y:0.9688, t:0.6181
  30: x:1.2615, y:0.9508, t:0.5941
  31: x:1.3195, y:0.9202, t:0.5992
  32: x:1.2626, y:1.1382, t:0.6332
  33: x:1.3099, y:1.1046, t:0.6297
  34: x:1.2554, y:0.8305, t:0.5739
  35: x:1.2420, y:0.6831, t:0.5416
  36: x:1.2711, y:0.9334, t:0.6144
  37: x:1.2501, y:1.0367, t:0.6091
  38: x:1.2578, y:1.7416, t:0.7581
  39: x:0.1038, y:2.6361, t:0.8941
  40: x:0.1861, y:2.5769, t:0.8740
  41: x:0.1746, y:2.6111, t:0.8984
  42: x:-0.0912, y:2.5640, t:0.9188
  43: x:0.1756, y:2.5526, t:0.8729
  44: x:0.2925, y:2.5525, t:0.8813
  45: x:-0.3399, y:2.5710, t:0.9371
  46: x:-0.0298, y:2.5489, t:0.8861
  47: x:-0.1867, y:2.5521, t:0.9027
  48: x:-0.2824, y:2.5566, t:0.9122
  49: x:-0.2167, y:2.5604, t:0.8833
  50: x:-0.2204, y:2.5479, t:0.8976
  51: x:-1.2990, y:2.4965, t:0.9882
  52: x:-0.6709, y:2.5653, t:0.9386
  53: x:-0.3199, y:2.5691, t:0.9072
  54: x:-0.3764, y:2.5837, t:0.9173
  55: x:-1.2712, y:2.4452, t:0.9987
  56: x:-1.3262, y:2.5196, t:0.9993
  57: x:-0.3300, y:2.5542, t:0.9218
  58: x:-1.2934, y:2.2840, t:1.0000
  59: x:-1.2977, y:2.0783, t:0.9972
  60: x:-1.3133, y:2.6321, t:0.9976
  61: x:-1.3239, y:2.3787, t:0.9993
  62: x:-0.0991, y:2.5474, t:0.9112
  63: x:-1.2511, y:2.3062, t:0.9999
  64: x:-1.2860, y:2.1955, t:0.9923
  65: x:-1.2657, y:2.3776, t:0.9951
  66: x:0.0944, y:2.5660, t:0.9405
  67: x:-1.3076, y:2.2900, t:0.9842
  68: x:0.0658, y:2.5486, t:0.9261
  69: x:-1.2602, y:2.3109, t:0.9925
  70: x:-1.2982, y:2.6484, t:0.9987
  71: x:0.1529, y:2.5490, t:0.9309
  72: x:0.5911, y:2.5553, t:0.9367
  73: x:-1.2727, y:2.6605, t:0.9949
  74: x:0.3512, y:2.5662, t:0.9053
  75: x:-1.3135, y:2.3316, t:0.9918
  76: x:0.1313, y:2.5500, t:0.9015
  77: x:-1.2457, y:2.4738, t:0.9980
  78: x:-1.2935, y:2.4683, t:0.9928
  79: x:-1.3277, y:2.2668, t:0.9708
  80: x:1.2640, y:1.0892, t:0.6367
  81: x:0.3319, y:2.5903, t:0.9358
  82: x:0.6291, y:2.5809, t:0.9198
  83: x:1.2816, y:0.7766, t:0.5640
  84: x:1.2726, y:0.8715, t:0.5858
  85: x:1.2766, y:1.5804, t:0.7074
  86: x:1.2576, y:1.3637, t:0.6527
  87: x:1.3148, y:0.8452, t:0.5386
  88: x:1.2466, y:0.3765, t:0.4781
  89: x:1.2974, y:0.5832, t:0.5461
  90: x:1.3325, y:0.5874, t:0.5427
  91: x:1.2824, y:0.4045, t:0.5443
  92: x:1.2740, y:0.6027, t:0.5157
  93: x:1.2749, y:0.5978, t:0.5469
  94: x:1.3014, y:0.6551, t:0.5483
  95: x:1.3354, y:0.5429, t:0.5436
  96: x:1.3148, y:0.3732, t:0.5265
  97: x:1.2593, y:0.5540, t:0.5377
  98: x:1.2713, y:0.3535, t:0.4995
  99: x:1.2744, y:0.7837, t:0.5890
 100: x:1.2959, y:0.5181, t:0.5762
