   1: x:1.2426, y:1.4139, t:0.6926
   2: x:0.3035, y:2.5854, t:0.9418
   3: x:0.3592, y:2.5775, t:0.9807
   4: x:0.1671, y:2.5470, t:0.9559
   5: x:-0.2803, y:2.5454, t:0.9905
   6: x:-1.3090, y:2.2422, t:0.9683
   7: x:-1.2428, y:1.6804, t:0.9960
   8: x:-1.2431, y:2.1700, t:0.9958
   9: x:-1.3101, y:1.9195, t:0.9963
  10: x:-1.3074, y:1.4046, t:0.9809
  11: x:-1.2745, y:1.2000, t:0.9211
  12: x:-1.3135, y:1.3043, t:0.8473
  13: x:-1.2480, y:1.6601, t:0.8165
  14: x:-1.3215, y:1.5085, t:0.8217
  15: x:-1.3266, y:1.4105, t:0.7765
  16: x:-1.2802, y:1.3584, t:0.7360
  17: x:-1.2529, y:1.2654, t:0.6833
  18: x:-1.2444, y:1.4092, t:0.6796
  19: x:-1.3113, y:1.2708, t:0.7431
  20: x:-1.3066, y:1.3694, t:0.7067
  21: x:-1.3323, y:1.6354, t:0.7148
  22: x:-0.7217, y:-0.7921, t:0.6607
  23: x:-0.5815, y:-0.8166, t:0.6867
  24: x:-1.3215, y:1.4941, t:0.7739
  25: x:-0.8307, y:-0.7607, t:0.6306
  26: x:-0.7498, y:-0.8223, t:0.6803
  27: x:-1.3242, y:1.2005, t:0.7459
  28: x:-1.2642, y:1.4015, t:0.7997
  29: x:-1.2718, y:1.0340, t:0.7549
  30: x:-1.3352, y:1.4630, t:0.8076
  31: x:-1.2984, y:1.5427, t:0.8061
  32: x:-1.3287, y:1.4157, t:0.8077
  33: x:-1.2794, y:1.5904, t:0.7822
  34: x:-1.2758, y:1.5904, t:0.8282
  35: x:-1.2952, y:1.5574, t:0.8875
  36: x:-1.3227, y:1.5091, t:0.8335
  37: x:-1.2775, y:1.5064, t:0.8373
  38: x:-1.2791, y:1.5421, t:0.7985
  39: x:-1.2753, y:1.7252, t:0.8560
  40: x:-1.2923, y:1.4536, t:0.8234
  41: x:-1.2477, y:1.5197, t:0.8077
  42: x:-1.2779, y:1.0822, t:0.8350
  43: x:-1.2525, y:0.9064, t:0.8716
  44: x:-1.3234, y:1.2766, t:0.8099
  45: x:-1.2742, y:1.4184, t:0.8236
  46: x:-1.2653, y:1.0487, t:0.8600
  47: x:-1.2740, y:1.5936, t:0.7797
  48: x:-1.2474, y:1.3830, t:0.7747
  49: x:-1.3045, y:1.2163, t:0.8272
  50: x:-1.2556, y:0.9613, t:0.7823
  51: x:-1.2569, y:1.0697, t:0.7864
  52: x:-1.3005, y:1.3183, t:0.7848
  53: x:-1.2531, y:1.3962, t:0.7698
  54: x:-1.2824, y:0.9383, t:0.7523
  55: x:-1.2952, y:1.3929, t:0.7934
  56: x:-1.2799, y:1.5812, t:0.7895
  57: x:-1.3363, y:1.6644, t:0.7439
  58: x:-1.2816, y:1.6760, t:0.8135
  59: x:-1.2825, y:1.4089, t:0.7245
  60: x:-1.2843, y:1.6951, t:0.8067
  61: x:-1.2404, y:1.5627, t:0.7681
  62: x:-1.2753, y:1.3648, t:0.7875
  63: x:-1.2801, y:1.4767, t:0.7451
  64: x:-1.3220, y:1.2536, t:0.7716
  65: x:-1.3205, y:1.5674, t:0.8262
  66: x:-1.2528, y:1.2315, t:0.8044
  67: x:-1.3221, y:1.3047, t:0.8539
  68: x:-1.2923, y:1.2378, t:0.8723
  69: x:-1.2626, y:1.1651, t:0.8726
  70: x:-1.2874, y:1.7117, t:-0.6683
  71: x:-1.2582, y:1.8173, t:-0.5868
  72: x:-0.2300, y:2.5892, t:-0.6385
  73: x:-1.2962, y:1.7146, t:-0.5974
  75: x:-1.3000, y:1.8484, t:-0.7391
  83: x:-1.3378, y:1.5045, t:-0.6767
  84: x:-1.2434, y:1.6158, t:-0.6214
  85: x:-1.3044, y:1.5632, t:-0.6374
  86: x:-1.2912, y:1.7029, t:-0.6508
  87: x:-1.3226, y:2.2767, t:-0.6518
  88: x:-1.3218, y:1.6571, t:-0.6792
  89: x:-1.3378, y:2.2514, t:-0.6591
  90: x:-1.2983, y:2.0457, t:-0.4783
  91: x:-1.2518, y:1.9706, t:-0.6658
  92: x:-1.2672, y:2.0830, t:-0.6437
  93: x:-1.2433, y:1.6869, t:-0.6311
  94: x:-1.2602, y:1.9841, t:-0.6497
  95: x:-1.2420, y:2.0151, t:-0.6758
  96: x:-1.3010, y:2.2485, t:-0.5400
  97: x:-1.2716, y:1.9374, t:-0.6623
  98: x:-1.2735, y:0.9672, t:0.2242
  99: x:-1.3253, y:0.8580, t:0.3691
 100: x:-1.2789, y:2.8460, t:0.0927
