   1: x:1.2835, y:1.3924, t:0.2619
   2: x:0.5971, y:-0.7590, t:-0.5529
   3: x:0.4910, y:-0.7695, t:-0.5814
   4: x:0.3972, y:-0.7432, t:-0.5702
   5: x:0.2138, y:-0.7412, t:-0.7561
   6: x:0.4293, y:-0.7525, t:-0.5975
   7: x:0.6777, y:-0.7500, t:-0.5249
   8: x:0.5256, y:-0.7614, t:-0.5378
   9: x:1.2767, y:1.3100, t:0.2200
  10: x:0.4345, y:-0.7464, t:-0.6912
  11: x:0.5970, y:-0.7622, t:-0.5731
  12: x:0.4768, y:-0.7583, t:-0.6007
  13: x:0.4703, y:-0.7591, t:-0.5366
  14: x:0.5405, y:-0.7567, t:-0.6835
  15: x:0.5541, y:-0.7743, t:-0.5429
  16: x:0.6564, y:-0.7995, t:-0.5661
  17: x:1.2466, y:-0.3164, t:-0.4504
  18: x:1.2210, y:-0.7422, t:-0.5877
  19: x:1.3017, y:0.3082, t:-0.2820
  20: x:1.2546, y:0.0607, t:-0.4417
  21: x:1.3145, y:0.5238, t:-0.3397
  22: x:1.2463, y:0.8245, t:-0.2505
  23: x:1.3237, y:1.1996, t:-0.2645
  24: x:1.2706, y:1.5469, t:-0.1194
  25: x:1.2569, y:1.2659, t:-0.1850
  26: x:1.2937, y:1.4060, t:-0.1811
  27: x:1.2556, y:2.8753, t:-0.1221
  28: x:1.2494, y:1.5330, t:-0.0934
  29: x:1.0326, y:2.5580, t:0.1234
  30: x:1.2785, y:2.4764, t:0.0099
  31: x:1.1342, y:2.6765, t:0.1796
  32: x:0.8637, y:2.6379, t:0.2102
  33: x:1.2624, y:2.7742, t:0.0419
  34: x:1.1321, y:2.6726, t:0.0770
  35: x:1.2621, y:3.2305, t:0.0240
  36: x:0.6201, y:2.5454, t:0.2170
  37: x:0.6903, y:2.6321, t:0.0458
  38: x:0.8053, y:2.6383, t:0.0733
  39: x:0.8023, y:2.6900, t:0.0347
  40: x:1.2713, y:3.4681, t:-0.0046
  41: x:0.7603, y:2.6082, t:0.2038
  42: x:1.2619, y:2.5227, t:-0.0058
  43: x:1.2853, y:2.4726, t:-0.0213
  44: x:1.2682, y:2.4601, t:0.0282
  45: x:1.2755, y:1.8662, t:-0.0380
  46: x:1.2884, y:1.9339, t:0.0035
  47: x:1.2693, y:2.1397, t:0.0689
  48: x:1.2646, y:1.8573, t:0.0852
  49: x:1.0480, y:2.6379, t:0.3078
  50: x:1.2484, y:1.5892, t:0.0684
  51: x:1.2545, y:1.7817, t:0.1515
  52: x:1.2847, y:1.7541, t:0.1370
  53: x:1.2996, y:1.8018, t:0.1760
  54: x:1.2943, y:1.9213, t:0.1329
  55: x:0.5874, y:2.6052, t:0.4208
  56: x:0.7012, y:2.5920, t:0.3720
  57: x:0.7412, y:2.5645, t:0.3474
  58: x:-0.0955, y:6.7715, t:0.6902
  59: x:1.2407, y:3.1581, t:0.1926
  60: x:0.9959, y:2.8761, t:0.3226
  61: x:0.7130, y:2.5819, t:0.4234
  62: x:1.1277, y:2.6399, t:0.4127
  63: x:0.6915, y:3.0423, t:0.6438
  64: x:0.7249, y:3.0085, t:0.6596
  65: x:1.2705, y:2.2823, t:0.4177
  66: x:0.9936, y:2.5767, t:0.4840
  67: x:0.7445, y:3.0902, t:0.5400
  68: x:1.2501, y:1.5065, t:0.2980
  69: x:1.2659, y:1.7816, t:0.2449
  70: x:0.7151, y:3.5218, t:0.6729
  71: x:0.7280, y:3.3017, t:0.7198
  72: x:1.2736, y:1.3447, t:0.2415
  73: x:1.2647, y:1.5424, t:0.2984
  74: x:1.2723, y:1.5743, t:0.3071
  75: x:1.2728, y:1.2492, t:0.3105
  76: x:1.2581, y:1.3997, t:0.3511
  77: x:1.2542, y:1.3869, t:0.3792
  78: x:1.2536, y:1.5110, t:0.3800
  79: x:1.2635, y:1.3212, t:0.3939
  80: x:0.6868, y:2.5483, t:0.6678
  81: x:0.6954, y:2.9353, t:0.6531
  82: x:0.8354, y:2.5656, t:0.6448
  83: x:0.8721, y:2.6411, t:0.6081
  84: x:1.2418, y:1.4352, t:0.4054
  85: x:1.2624, y:1.2614, t:0.3557
  86: x:1.0325, y:2.5652, t:0.5745
  87: x:1.2461, y:1.2091, t:0.2281
  88: x:1.2738, y:1.3247, t:0.2715
  89: x:1.2464, y:1.2931, t:0.2871
  90: x:-1.3041, y:1.3507, t:-0.1994
  91: x:-1.2715, y:1.7345, t:-0.7339
  92: x:-0.8342, y:2.5499, t:0.9279
  93: x:-1.2530, y:0.9214, t:-0.6227
  94: x:-0.4322, y:2.5414, t:-0.7717
  95: x:-0.2550, y:2.5508, t:0.9738
  96: x:1.2611, y:0.4209, t:0.8258
  97: x:-1.2472, y:1.7999, t:-0.7609
  98: x:0.3991, y:2.5702, t:0.9421
  99: x:1.2480, y:0.9771, t:0.1503
 100: x:-0.3352, y:2.5655, t:0.9692
 101: x:0.3998, y:2.5568, t:0.9958
 102: x:0.7007, y:3.5605, t:0.8509
 103: x:-0.8231, y:2.5857, t:0.9997
 104: x:-0.2040, y:2.5843, t:0.9993
 105: x:-1.3079, y:0.7885, t:-0.7826
 106: x:-1.2696, y:0.7204, t:-0.7875
 107: x:-1.2674, y:0.9536, t:-0.7735
 108: x:-1.2559, y:0.8161, t:-0.7252
 109: x:-1.2862, y:0.9850, t:-0.7631
 110: x:-1.3095, y:0.7145, t:-0.6881
 111: x:-1.2659, y:1.4129, t:-0.7852
 112: x:-1.2636, y:1.8400, t:-0.8561
 113: x:-1.2833, y:1.3047, t:-0.7246
 114: x:-1.2794, y:1.4076, t:-0.7403
 115: x:1.3334, y:0.3621, t:-0.0878
 116: x:-1.3056, y:1.4460, t:-0.7306
 117: x:-1.2507, y:1.5538, t:-0.7390
 118: x:-1.3146, y:1.1952, t:-0.6401
 119: x:-1.3150, y:1.1366, t:-0.6676
 120: x:-0.4606, y:2.5843, t:0.9659
 121: x:-1.2696, y:1.1831, t:-0.6465
 122: x:-1.3067, y:1.1283, t:-0.5736
 123: x:-0.5561, y:2.5477, t:0.9527
 124: x:-1.2677, y:1.3728, t:-0.6846
 125: x:-1.2674, y:1.8763, t:-0.7648
 126: x:-1.2712, y:2.0512, t:-0.7657
 127: x:1.2422, y:0.7896, t:0.8359
 128: x:-0.0418, y:-0.7757, t:0.4635
 129: x:1.2709, y:1.2182, t:0.7953
 130: x:-1.2933, y:1.8602, t:-0.8110
 131: x:-1.2803, y:2.2439, t:0.8687
 132: x:-1.2872, y:1.8797, t:-0.7814
 133: x:-1.2493, y:1.5898, t:-0.7466
 134: x:-1.2516, y:1.5641, t:-0.7431
 135: x:-1.2951, y:0.9202, t:-0.4676
 136: x:-1.2999, y:1.2259, t:-0.6557
 137: x:-1.2884, y:1.4513, t:-0.6492
 138: x:-1.3248, y:1.5260, t:-0.6879
 139: x:-1.2422, y:1.6262, t:-0.7179
 140: x:-1.2636, y:1.8100, t:-0.6354
 141: x:-0.7084, y:2.6361, t:-0.8453
 142: x:-0.3063, y:2.5818, t:-0.8454
 143: x:-1.3129, y:1.6178, t:-0.7209
 144: x:0.1967, y:2.5452, t:0.8690
 145: x:-0.9225, y:2.5627, t:-0.8411
 146: x:0.4417, y:2.5518, t:0.8970
 147: x:-0.6768, y:2.8445, t:0.8946
 148: x:-1.2643, y:2.0139, t:-0.7460
 149: x:-1.3030, y:1.4708, t:-0.6661
 150: x:-1.3229, y:1.5177, t:-0.7172
 151: x:-1.2933, y:1.4951, t:-0.6737
 152: x:-1.2733, y:1.9720, t:-0.8244
