   1: x:1.2737, y:0.7388, t:0.5414
   2: x:1.2626, y:0.8885, t:0.4760
   3: x:1.2628, y:1.2895, t:0.6198
   4: x:1.3110, y:0.5583, t:0.4974
   5: x:-1.2904, y:2.6706, t:-0.8224
   6: x:1.2579, y:1.5351, t:0.7063
   7: x:-1.2862, y:2.7832, t:-0.8575
   9: x:-1.2691, y:2.5500, t:-0.8340
  10: x:-1.2642, y:2.0732, t:-0.7353
  11: x:-1.2476, y:1.3293, t:-0.5463
  12: x:1.2430, y:1.6233, t:0.7488
  13: x:-1.2415, y:2.3098, t:-0.7645
  14: x:1.2435, y:1.6110, t:0.7331
  15: x:1.2417, y:1.1552, t:0.6465
  16: x:-1.2547, y:2.3172, t:-0.8070
  18: x:-1.2435, y:1.8700, t:-0.6798
  19: x:-1.2416, y:1.5356, t:-0.6281
  20: x:1.2610, y:1.3875, t:0.5757
  21: x:-1.2743, y:2.0375, t:-0.8041
  24: x:-1.2748, y:2.8225, t:1.0000
  25: x:-1.2502, y:2.1898, t:1.0000
  26: x:-1.2985, y:2.2009, t:0.9747
  27: x:-1.2711, y:2.1808, t:0.9589
  28: x:-1.2647, y:2.1570, t:0.8936
  29: x:-1.3160, y:1.5565, t:0.7875
  30: x:-1.3077, y:1.4098, t:0.7314
  31: x:-1.2437, y:1.2009, t:0.6884
  32: x:-1.2644, y:0.9325, t:0.6514
  33: x:-1.3304, y:0.9209, t:0.6192
  34: x:-1.3019, y:0.4657, t:0.5941
  35: x:-1.3273, y:0.5862, t:0.5424
  36: x:-1.2622, y:0.2493, t:0.5690
  37: x:-1.2723, y:0.4970, t:0.5190
  38: x:-1.2516, y:0.4508, t:0.5430
  39: x:-1.2972, y:0.2458, t:0.5648
  40: x:-1.3342, y:0.3812, t:0.5362
  41: x:-1.2432, y:0.3715, t:0.5765
  42: x:-1.3152, y:0.0519, t:0.6067
  43: x:-1.2595, y:0.1944, t:0.5742
  44: x:-1.3001, y:0.2003, t:0.5460
  45: x:-1.3125, y:0.1563, t:0.5836
  46: x:-1.2978, y:0.2933, t:0.5631
  47: x:-1.2520, y:0.4249, t:0.5309
  48: x:-1.2535, y:0.2201, t:0.5442
  49: x:-1.2818, y:0.2148, t:0.5560
  50: x:-1.3131, y:0.5136, t:0.5754
  51: x:-1.3202, y:0.3976, t:0.5624
  52: x:-1.2888, y:0.6346, t:0.5246
  53: x:-1.2499, y:0.6949, t:0.5066
  54: x:-1.2935, y:1.0523, t:0.4578
  55: x:-0.3640, y:4.7673, t:-0.1960
  56: x:0.3630, y:4.8110, t:-0.2982
  57: x:1.0334, y:4.9234, t:-0.2832
  58: x:1.3117, y:4.5231, t:-0.3825
  59: x:1.2922, y:3.5540, t:-0.3872
  60: x:1.2996, y:3.4119, t:-0.4529
  61: x:1.2835, y:3.5841, t:-0.4592
  62: x:1.2509, y:3.4841, t:-0.4882
  63: x:1.3103, y:3.5732, t:-0.4826
  64: x:1.2711, y:2.5417, t:-0.5675
  65: x:1.3198, y:3.7178, t:-0.5903
  66: x:1.2629, y:2.5727, t:-0.5539
  67: x:1.2913, y:2.0487, t:-0.5730
  68: x:1.2605, y:2.1282, t:-0.5935
  69: x:1.3401, y:2.3705, t:-0.6317
  70: x:1.2823, y:1.9039, t:-0.6343
  71: x:1.3141, y:1.7794, t:-0.6952
  72: x:1.2922, y:1.7583, t:-0.7411
  73: x:1.2500, y:1.7146, t:-0.7919
  74: x:1.2577, y:1.6946, t:-0.8223
