   1: x:-0.4680, y:-0.7480, t:0.5987
   2: x:-0.7344, y:-0.7858, t:0.4375
   3: x:-0.9459, y:-0.7700, t:0.3810
   4: x:-0.7743, y:-0.7953, t:0.3017
   5: x:-0.8524, y:-0.7860, t:0.3252
   6: x:-0.9284, y:-0.7625, t:0.2772
   7: x:-0.8731, y:-0.8314, t:0.2346
   8: x:-0.3522, y:-0.7779, t:0.5927
   9: x:-0.6985, y:-0.7946, t:0.3626
  10: x:-0.5827, y:-0.7455, t:0.5274
  11: x:-0.6177, y:-0.7638, t:0.5771
  12: x:-1.2833, y:3.1110, t:0.1601
  13: x:-1.3009, y:2.2861, t:0.1183
  14: x:-0.7510, y:2.5492, t:-0.1208
  15: x:-0.1680, y:2.6245, t:-0.2567
  16: x:-1.2908, y:0.5799, t:0.4943
  17: x:-0.5391, y:2.5428, t:0.0454
  18: x:-1.2676, y:1.5728, t:0.3721
  19: x:-1.2609, y:1.1500, t:0.4360
  20: x:-1.3249, y:0.9527, t:0.5258
  21: x:-1.2809, y:2.0996, t:0.5600
  22: x:-1.3087, y:1.8333, t:0.4255
  23: x:0.2822, y:2.5650, t:-0.1188
  24: x:1.3056, y:2.7053, t:-0.3487
  25: x:-1.2594, y:1.5104, t:0.7509
  26: x:-1.2661, y:2.0612, t:0.7664
  27: x:-0.8097, y:2.6109, t:0.5568
  28: x:-1.2943, y:2.0540, t:0.8807
  29: x:-1.3194, y:1.9756, t:0.9164
  30: x:-1.3109, y:2.2423, t:0.9311
  31: x:-1.2998, y:2.3127, t:0.9489
  32: x:-1.2746, y:1.7306, t:0.9842
  33: x:-1.2627, y:1.4428, t:1.0000
  34: x:-1.2492, y:1.6731, t:0.9996
  35: x:-1.2864, y:1.8426, t:0.9953
  36: x:-1.2575, y:1.5380, t:0.9746
  37: x:-1.2662, y:1.9582, t:0.9924
  38: x:-1.2913, y:1.7575, t:0.9970
  39: x:-1.3287, y:2.1305, t:0.9946
  40: x:0.3479, y:2.5640, t:0.8579
  41: x:-1.3069, y:2.3146, t:0.9958
  42: x:-1.2985, y:2.0529, t:0.9845
  43: x:0.0822, y:2.5802, t:0.8396
  44: x:-0.1755, y:2.5591, t:0.8689
  45: x:-1.3229, y:2.3321, t:0.9640
  46: x:-1.2535, y:2.3645, t:0.9574
  47: x:-1.2822, y:2.3445, t:0.9490
  48: x:-0.4317, y:2.5498, t:0.9142
  49: x:-1.2808, y:2.4286, t:0.9783
  50: x:-1.2427, y:2.3034, t:0.9858
  51: x:-1.3131, y:2.4065, t:0.9810
  52: x:-1.2960, y:2.1305, t:0.9989
  53: x:0.0763, y:2.5522, t:0.9104
  54: x:-0.9092, y:2.5450, t:0.9582
  55: x:-1.2717, y:2.0014, t:0.9976
  56: x:-1.2918, y:1.9606, t:0.9996
  57: x:-0.2450, y:2.5595, t:0.8922
  58: x:-1.2491, y:1.3706, t:0.9352
  59: x:-1.2512, y:2.2848, t:0.9992
  60: x:-1.2662, y:2.2080, t:0.9997
  61: x:-1.2829, y:2.3158, t:0.9998
  62: x:1.3241, y:-0.3908, t:-0.0869
  63: x:-1.2664, y:1.7670, t:0.9846
  64: x:-1.2663, y:1.3274, t:0.8990
  65: x:-0.1995, y:2.5446, t:0.9294
  66: x:-1.2859, y:2.1362, t:0.9999
  67: x:-1.2625, y:2.1851, t:0.9999
  68: x:-1.3066, y:1.4524, t:0.9677
  69: x:-1.2846, y:2.0068, t:0.9999
  70: x:-1.3098, y:2.2016, t:0.9983
  71: x:-1.2663, y:1.9474, t:0.9916
  72: x:1.2527, y:1.3662, t:0.5973
  73: x:-1.2724, y:2.0576, t:0.9911
  74: x:-1.2610, y:2.1670, t:0.9684
  75: x:-1.3225, y:2.1012, t:0.9609
  76: x:-1.3122, y:2.2332, t:0.9562
  77: x:-1.3140, y:2.0184, t:0.9553
  78: x:-1.3014, y:1.4276, t:0.9899
  79: x:-1.3186, y:1.9517, t:0.9483
  80: x:-1.3268, y:1.7546, t:0.9013
  81: x:-1.2733, y:1.9735, t:0.9031
  82: x:-1.2872, y:1.6533, t:0.9329
  83: x:-1.2732, y:1.4564, t:0.9215
  84: x:-1.2476, y:1.2291, t:0.9516
  85: x:-1.2467, y:1.6302, t:0.9557
  86: x:-1.2441, y:1.0922, t:0.9884
