   1: x:1.3254, y:1.0419, t:-0.5543
   2: x:1.2545, y:1.1471, t:-0.5536
   3: x:1.2721, y:1.1009, t:-0.5890
   4: x:1.2635, y:0.9417, t:-0.5902
   5: x:1.2846, y:0.9563, t:-0.5917
   6: x:1.2858, y:1.0248, t:-0.5335
   7: x:1.3334, y:0.7126, t:-0.5920
   8: x:1.2674, y:0.7240, t:-0.5623
   9: x:1.3265, y:0.6301, t:-0.5812
  10: x:1.2588, y:0.7736, t:-0.4993
  11: x:1.2928, y:1.1353, t:-0.3932
  12: x:1.3396, y:0.8217, t:-0.3394
  13: x:1.2598, y:1.0057, t:-0.3257
  14: x:1.2553, y:0.8493, t:-0.3166
  15: x:1.3082, y:1.6718, t:-0.2216
  16: x:1.2713, y:1.8467, t:-0.1194
  17: x:1.2486, y:2.3103, t:-0.1487
  18: x:0.9184, y:6.0116, t:0.2679
  19: x:0.0187, y:6.0331, t:0.0430
  20: x:-0.0886, y:6.0885, t:0.1254
  21: x:0.0973, y:6.0325, t:0.0213
  22: x:-0.2636, y:6.0421, t:0.0904
  23: x:-0.6678, y:6.0131, t:-0.0312
  24: x:-0.8296, y:6.0057, t:-0.0871
  25: x:-0.5954, y:6.0392, t:0.0012
  26: x:-0.9742, y:6.0273, t:-0.0571
  27: x:-1.2457, y:2.2901, t:0.1893
  28: x:-1.2680, y:2.4516, t:0.1778
  29: x:-1.2674, y:2.0802, t:0.2565
  30: x:-1.2433, y:1.6290, t:0.3170
  31: x:-1.2623, y:1.0699, t:0.5278
  87: x:1.2543, y:0.7749, t:0.1285
  95: x:1.2972, y:-0.0198, t:0.3540
  96: x:1.3072, y:0.0668, t:0.2838
  98: x:1.2678, y:3.1040, t:0.9834
  99: x:1.3122, y:1.9687, t:0.9162
 100: x:1.3036, y:1.0147, t:0.5908
