   1: x:1.3143, y:0.6050, t:0.3064
   2: x:1.3349, y:0.4956, t:0.4760
   3: x:1.2740, y:0.2251, t:0.3241
   4: x:1.3330, y:0.6485, t:0.4957
   5: x:1.2801, y:0.8080, t:0.5426
   6: x:1.3288, y:1.0205, t:0.5609
   7: x:1.2669, y:0.8399, t:0.4957
   8: x:1.2483, y:0.4905, t:0.5396
   9: x:1.3230, y:0.2364, t:0.5317
  10: x:1.2799, y:0.4573, t:0.4927
  11: x:1.2623, y:1.0338, t:0.6132
  12: x:1.2465, y:0.9478, t:0.5963
  13: x:1.2775, y:1.2006, t:0.5438
  14: x:0.5378, y:2.7452, t:0.9385
  15: x:-1.2469, y:2.1333, t:0.9770
  16: x:-0.4116, y:2.7551, t:0.9717
  17: x:-1.2565, y:2.0856, t:0.9872
  18: x:-1.2974, y:2.2152, t:0.9986
  19: x:-1.2636, y:2.2896, t:0.9943
  20: x:-1.3290, y:2.4530, t:0.9998
  21: x:-1.3252, y:2.4690, t:0.9996
  22: x:-0.3324, y:2.7614, t:0.9476
  23: x:-0.5261, y:2.7520, t:0.9587
  24: x:-1.2593, y:2.2576, t:1.0000
  25: x:-0.4655, y:2.7434, t:0.9293
  26: x:-1.2551, y:2.5115, t:0.9989
  27: x:-1.2470, y:2.4325, t:0.9995
  28: x:-1.3297, y:2.6267, t:1.0000
  29: x:-1.2817, y:2.6791, t:0.9997
  30: x:-1.2848, y:2.6294, t:0.9991
  31: x:-1.2644, y:2.5720, t:1.0000
  32: x:-1.2630, y:2.5920, t:0.9982
  33: x:-1.3075, y:2.5250, t:0.9977
  34: x:-1.2793, y:2.4996, t:0.9874
  35: x:-1.3252, y:2.4456, t:0.9925
  36: x:-1.3274, y:2.3262, t:0.9760
  37: x:-1.2901, y:2.4878, t:0.9811
  38: x:-1.3163, y:2.5219, t:0.9737
  39: x:-1.2499, y:2.5882, t:0.9754
  40: x:-1.3054, y:2.3240, t:0.9839
  41: x:-1.3159, y:2.2865, t:0.9879
  42: x:-1.2831, y:2.1524, t:0.9993
  43: x:-1.2721, y:2.3281, t:0.9898
  44: x:-1.2819, y:2.1827, t:0.9917
  45: x:-1.2730, y:2.3548, t:0.9980
  46: x:-1.2973, y:2.4257, t:0.9892
  47: x:-1.2834, y:2.4514, t:0.9995
  48: x:-0.3294, y:2.7612, t:0.9528
