   1: x:1.3066, y:-0.3359, t:-0.5524
   2: x:1.2611, y:1.2624, t:0.1845
   3: x:1.2544, y:1.5864, t:0.2209
   4: x:1.2716, y:2.3937, t:0.6849
   5: x:-0.3995, y:-0.7830, t:0.5612
   6: x:-0.5187, y:-0.8057, t:0.6209
   7: x:-0.6287, y:-0.8313, t:0.5358
   8: x:-0.8113, y:-0.7730, t:0.6727
   9: x:-1.2536, y:0.6804, t:0.4279
  10: x:-1.2668, y:1.0258, t:0.7184
  11: x:-1.2547, y:0.9727, t:0.6551
  12: x:-1.2570, y:1.3794, t:0.7342
  13: x:-1.3089, y:1.4716, t:0.7977
  14: x:-1.2840, y:1.2574, t:0.8903
  15: x:-1.3028, y:1.6285, t:0.9553
  16: x:0.3735, y:2.5740, t:0.9754
  17: x:1.2562, y:0.6910, t:0.5810
  18: x:1.2739, y:0.4810, t:0.5402
  19: x:1.2439, y:0.6241, t:0.4836
  20: x:1.3310, y:0.5220, t:0.5275
  21: x:1.2978, y:0.6840, t:0.5312
  22: x:1.2964, y:0.2571, t:0.4568
  23: x:1.3356, y:0.4039, t:0.5618
  24: x:1.3269, y:0.7288, t:0.6618
  25: x:1.2731, y:0.6508, t:0.5362
  26: x:1.3198, y:0.5271, t:0.5902
  27: x:1.2461, y:0.5121, t:0.5008
  28: x:1.2533, y:0.1456, t:0.6216
  29: x:1.2419, y:0.4660, t:0.4976
  30: x:1.2514, y:0.7350, t:0.5466
  31: x:1.3227, y:0.4769, t:0.4866
  32: x:1.2748, y:0.6005, t:0.4767
  33: x:1.3045, y:0.6269, t:0.4879
  34: x:1.3285, y:1.2599, t:0.6619
  35: x:1.3161, y:0.6337, t:0.5348
  36: x:1.2843, y:0.8390, t:0.5522
  37: x:1.2866, y:0.3235, t:0.4915
  38: x:1.3286, y:0.6289, t:0.5388
  39: x:1.2835, y:1.0641, t:0.5264
  40: x:1.3257, y:0.2709, t:0.4675
  41: x:1.3381, y:0.5824, t:0.4387
  42: x:1.3151, y:0.8800, t:0.3540
  43: x:1.2627, y:0.7493, t:0.3474
  44: x:1.2559, y:0.6116, t:0.2992
  45: x:1.3295, y:0.4405, t:0.1649
  46: x:1.2557, y:0.7917, t:0.2299
  47: x:1.2665, y:0.8497, t:0.1402
  48: x:1.3123, y:1.1901, t:0.1534
  49: x:1.2428, y:1.2612, t:0.1639
  50: x:1.2891, y:1.9773, t:0.1093
  51: x:1.2935, y:1.4711, t:0.0275
  52: x:1.2945, y:3.1302, t:-0.0774
  53: x:1.2604, y:2.3004, t:-0.0956
  54: x:1.2513, y:2.8214, t:-0.2240
  55: x:1.2567, y:2.5132, t:-0.2338
  56: x:0.9327, y:2.7735, t:-0.2960
  57: x:-0.0129, y:2.6111, t:-0.2576
  58: x:-0.0691, y:2.5993, t:-0.2527
  59: x:-0.6963, y:3.8794, t:-0.3810
  60: x:-0.6568, y:2.5871, t:-0.3922
  61: x:-1.2404, y:1.6067, t:-0.0878
  62: x:-1.2431, y:1.3589, t:-0.0725
  63: x:-1.2601, y:1.5148, t:-0.2570
  64: x:-1.2695, y:0.9756, t:-0.1626
  65: x:-0.2103, y:2.5477, t:-0.7612
  66: x:-1.2875, y:1.1535, t:-0.4310
  67: x:-1.2619, y:1.4472, t:-0.5426
  68: x:-0.5766, y:2.5543, t:0.8918
  69: x:-0.2743, y:2.5481, t:0.9519
  70: x:-1.2480, y:1.1146, t:-0.5666
  71: x:-0.0466, y:2.5755, t:0.9977
  72: x:1.2575, y:1.6093, t:0.8401
  73: x:1.2427, y:1.3832, t:0.8250
  75: x:-1.2485, y:0.8029, t:-0.6889
  77: x:-1.2543, y:1.1461, t:-0.7094
  79: x:1.2526, y:1.3491, t:0.6318
  80: x:-1.2415, y:1.1574, t:-0.6777
  82: x:-1.2474, y:0.5304, t:-0.6086
  83: x:-1.2445, y:0.9354, t:-0.5798
  84: x:-1.2421, y:1.2768, t:-0.7388
  85: x:-0.2735, y:2.6157, t:0.9976
  86: x:-1.2419, y:1.4277, t:-0.8132
  87: x:1.2436, y:1.5180, t:0.5353
  88: x:-1.2409, y:0.6622, t:-0.6535
  89: x:-0.9848, y:2.5781, t:0.9408
  90: x:-0.4371, y:2.7578, t:0.9959
  91: x:-0.2251, y:2.5436, t:0.9997
  92: x:-1.2862, y:0.5554, t:-0.4738
  95: x:-1.2617, y:0.8762, t:-0.5761
  96: x:-1.2630, y:0.8739, t:-0.8021
  97: x:-1.2655, y:0.8115, t:-0.7294
  99: x:-0.1282, y:2.5514, t:0.9850
 100: x:-1.2424, y:1.0835, t:0.9095
