   1: x:1.2533, y:0.0947, t:0.9383
  21: x:-1.0648, y:3.0794, t:0.1904
  22: x:-1.2444, y:2.8201, t:0.1153
  23: x:-1.2452, y:2.9461, t:0.1122
  24: x:-1.2591, y:2.3661, t:0.0560
  25: x:-1.2642, y:1.5593, t:0.0444
  26: x:-1.2524, y:2.4938, t:0.0524
  27: x:-1.2486, y:2.5206, t:0.1035
  28: x:-1.2408, y:1.4533, t:-0.1082
  29: x:-1.2514, y:1.3257, t:-0.0514
  30: x:-1.2669, y:2.4992, t:0.0568
  31: x:-1.2547, y:2.6104, t:0.0761
  32: x:-1.2513, y:2.3993, t:0.0513
  34: x:-1.2980, y:1.3446, t:0.0657
  38: x:-1.2504, y:2.2425, t:0.0857
  39: x:-1.2522, y:2.3033, t:0.0495
  40: x:-1.2409, y:2.6527, t:0.0339
  44: x:-1.2713, y:1.2419, t:-0.0218
  50: x:-1.2557, y:1.7565, t:0.0370
  51: x:-1.2423, y:2.3043, t:0.0779
  52: x:-1.2783, y:0.9110, t:0.0170
  62: x:-1.2687, y:1.3309, t:0.0556
  67: x:-0.5786, y:2.5464, t:0.3689
  68: x:-1.2405, y:2.1770, t:-0.0164
  87: x:-1.2525, y:0.4035, t:-0.0698
  89: x:-1.2431, y:0.2383, t:-0.0951
  91: x:-1.2518, y:0.3568, t:-0.1553
  96: x:-1.2427, y:0.3441, t:-0.0653
  97: x:-1.2428, y:0.0795, t:-0.1087
  99: x:-1.2584, y:0.1985, t:-0.2364
