   2: x:-0.5450, y:-0.7417, t:0.1786
   4: x:1.2510, y:-0.3020, t:0.6623
   5: x:-0.6723, y:-0.7515, t:0.9985
   6: x:-1.2532, y:0.8018, t:0.6616
   7: x:0.2113, y:2.5787, t:0.0717
   8: x:-1.2709, y:1.2173, t:0.7312
   9: x:-1.2630, y:1.8590, t:0.7378
  10: x:-1.2673, y:1.9957, t:0.7628
  11: x:0.4275, y:2.5574, t:0.4456
  12: x:-0.1468, y:6.7535, t:0.6226
  13: x:0.4575, y:2.6301, t:0.5669
  14: x:1.2579, y:1.2188, t:0.3110
  17: x:1.2423, y:0.8953, t:-0.2541
  22: x:-0.0804, y:-0.7501, t:-0.7169
  23: x:0.0311, y:-0.7550, t:-0.7824
  24: x:-0.1089, y:-0.7547, t:-0.7713
  25: x:-0.2173, y:-0.7406, t:-0.7800
  28: x:1.3001, y:1.4923, t:-0.7696
  29: x:1.1305, y:-0.7846, t:-0.0818
  30: x:0.4982, y:-0.7624, t:-0.0284
  32: x:-1.2578, y:-0.3792, t:0.9018
  33: x:-1.2664, y:-0.2855, t:0.9249
  34: x:-1.2587, y:-0.0889, t:0.9763
  35: x:0.0105, y:-0.7611, t:-0.6420
  36: x:-1.2542, y:-0.2083, t:0.9694
  37: x:0.1538, y:-0.7580, t:-0.2748
  38: x:0.0785, y:-0.7641, t:-0.3267
  40: x:-0.0863, y:-0.7717, t:-0.5627
  41: x:-1.2513, y:-0.4341, t:0.9562
  42: x:-1.2477, y:0.0823, t:0.9989
  43: x:0.4220, y:-0.7426, t:-0.6292
  44: x:-1.2575, y:-0.4565, t:0.9327
  45: x:-0.0926, y:-0.7510, t:-0.6763
  46: x:-1.2780, y:-0.1826, t:0.9735
  47: x:-0.1498, y:-0.7617, t:-0.6309
  48: x:-0.0003, y:-0.7804, t:-0.6070
  49: x:0.1262, y:-0.7663, t:-0.6034
  50: x:-0.0035, y:-0.7508, t:-0.6128
  51: x:0.0272, y:-0.7469, t:-0.5893
  52: x:-1.2635, y:-0.0746, t:0.9758
  53: x:-1.2709, y:-0.1851, t:0.9711
  54: x:0.2150, y:-0.7444, t:-0.6192
  55: x:-1.2410, y:-0.3000, t:0.9473
  56: x:-1.2908, y:-0.0731, t:0.9676
  57: x:-1.2587, y:-0.1090, t:0.9715
  58: x:0.0644, y:-0.7613, t:-0.6534
  59: x:0.3099, y:-0.7464, t:-0.5348
  60: x:0.3997, y:-0.7659, t:-0.5545
  61: x:0.1166, y:-0.7454, t:-0.6405
  62: x:0.2795, y:-0.7596, t:-0.5719
  63: x:0.2941, y:-0.7624, t:-0.6030
  64: x:0.3636, y:-0.7573, t:-0.6015
  65: x:0.4780, y:-0.7498, t:-0.5515
  66: x:0.4250, y:-0.7796, t:-0.5193
  67: x:0.3400, y:-0.7920, t:-0.4974
  68: x:0.5564, y:-0.7531, t:-0.4462
  69: x:0.5032, y:-0.7684, t:-0.4635
  70: x:0.6464, y:-0.7782, t:-0.4180
  71: x:0.4610, y:-0.7903, t:-0.3406
  72: x:0.6049, y:-0.7574, t:-0.3511
  73: x:0.6118, y:-0.8074, t:-0.3875
  74: x:0.6311, y:-0.8170, t:-0.3592
  75: x:0.7099, y:-0.7463, t:-0.3173
  76: x:0.7629, y:-0.7485, t:-0.3531
  77: x:0.6831, y:-0.7875, t:-0.2688
  78: x:0.6467, y:-0.7927, t:-0.2655
  79: x:0.8941, y:-0.8081, t:-0.2926
  80: x:0.8281, y:-0.7981, t:-0.1926
  81: x:0.9545, y:-0.7452, t:-0.1865
  82: x:1.0668, y:-0.7497, t:-0.0722
  83: x:0.7934, y:-0.8358, t:-0.0738
  84: x:0.8938, y:-0.7628, t:-0.0616
  85: x:1.1117, y:-0.7583, t:0.0686
  86: x:1.1095, y:-0.8131, t:0.1387
  87: x:1.2493, y:-0.5124, t:0.1658
  88: x:1.2818, y:-0.7937, t:0.2630
  89: x:1.2869, y:-0.8028, t:0.3158
  90: x:1.2896, y:-0.2116, t:0.3576
  91: x:1.2742, y:-0.2639, t:0.2889
  92: x:1.2788, y:-0.4450, t:0.3589
  93: x:1.3166, y:-0.2605, t:0.4698
  94: x:1.2745, y:-0.0195, t:0.3765
  95: x:1.2930, y:-0.3705, t:0.3851
  96: x:1.2846, y:-0.2463, t:0.4172
  97: x:1.2431, y:-0.0295, t:0.3908
  98: x:1.2513, y:0.0092, t:0.4612
  99: x:1.2880, y:0.1837, t:0.5016
 100: x:1.2859, y:0.0386, t:0.5418
