   1: x:1.2658, y:-0.4148, t:-0.5179
   2: x:1.2518, y:-0.4533, t:-0.5036
   3: x:1.2764, y:-0.5436, t:-0.5600
   4: x:1.2806, y:-0.5797, t:-0.5364
   5: x:1.0397, y:-0.7565, t:-0.4533
   6: x:1.2530, y:-0.3359, t:-0.4879
   7: x:1.3271, y:-0.4141, t:-0.5829
   8: x:1.3231, y:-0.4044, t:-0.5397
   9: x:0.3352, y:-0.8014, t:-0.3719
  10: x:1.3370, y:-0.6526, t:-0.6165
  11: x:0.4405, y:-0.7567, t:-0.3607
  12: x:0.2904, y:-0.7653, t:-0.3292
  13: x:0.2390, y:-0.7642, t:-0.3108
  14: x:0.2881, y:-0.8033, t:-0.3355
  15: x:0.1782, y:-0.7568, t:-0.2888
  16: x:0.0740, y:-0.7950, t:-0.3079
  17: x:0.2951, y:-0.7739, t:-0.3025
  18: x:0.1023, y:-0.7416, t:-0.3013
  19: x:0.0529, y:-0.7484, t:-0.3036
  20: x:0.0558, y:-0.8303, t:-0.3532
  21: x:0.1250, y:-0.7572, t:-0.3447
  22: x:0.0475, y:-0.7721, t:-0.3759
  23: x:0.1854, y:-0.7697, t:-0.3381
  24: x:-0.0941, y:-0.7594, t:-0.5192
  25: x:0.1221, y:-0.7574, t:-0.3671
  26: x:1.3039, y:1.4189, t:0.1196
  27: x:-1.2596, y:-0.3971, t:0.9671
  28: x:-1.2470, y:-0.2749, t:0.9827
  29: x:-1.2940, y:-0.5174, t:0.9529
  30: x:-1.2652, y:-0.2698, t:0.9797
  34: x:0.8674, y:-0.7573, t:1.0000
  36: x:-1.2407, y:-0.2738, t:0.9778
  37: x:-1.2578, y:-0.2306, t:0.9936
  38: x:-1.2674, y:-0.3828, t:0.9998
  39: x:-1.2417, y:0.8029, t:0.9509
  40: x:-1.2432, y:0.1262, t:0.9625
