 131: x:-1.8063, y:-0.6742, t:-0.7078
 132: x:-1.7913, y:-0.1468, t:-0.7311
 133: x:-1.7577, y:1.0027, t:0.6489
 134: x:-1.4267, y:-0.7667, t:0.7281
 135: x:-0.4008, y:-0.7940, t:0.7634
 136: x:-1.7871, y:1.2302, t:0.6981
 137: x:-1.7820, y:0.8263, t:-0.7183
 138: x:-1.7648, y:1.1290, t:0.6794
 139: x:-1.7973, y:0.3792, t:-0.8156
 140: x:-1.7830, y:1.4129, t:0.5932
 141: x:-0.6103, y:-0.7492, t:0.7358
 142: x:1.8197, y:3.0555, t:0.9433
 143: x:-1.7763, y:1.9385, t:0.6737
 144: x:-1.7557, y:-0.2408, t:0.7744
 145: x:-1.8149, y:-0.5926, t:0.4419
 146: x:-1.8069, y:-0.7029, t:0.7472
 147: x:-1.7434, y:0.5153, t:0.3799
 148: x:-1.8193, y:1.2869, t:0.5953
 149: x:-1.8002, y:1.2144, t:0.6892
 150: x:-1.7978, y:1.6402, t:0.7135
 151: x:-1.7619, y:1.1520, t:0.6813
 152: x:-0.7359, y:4.5578, t:-0.7355
 153: x:-0.4987, y:2.8301, t:-0.2762
 154: x:-0.6606, y:2.8442, t:-0.3677
 155: x:1.7537, y:3.1229, t:0.8820
 156: x:1.7492, y:3.1062, t:0.9023
 157: x:0.0885, y:2.7747, t:-0.3798
 158: x:1.8049, y:1.1829, t:-0.8627
 159: x:0.2878, y:2.7548, t:-0.6707
 160: x:-1.7700, y:1.7348, t:0.5464
 161: x:-0.7541, y:3.2564, t:0.1839
 162: x:-1.7452, y:2.4951, t:0.6623
 163: x:-0.6995, y:2.9084, t:0.1659
 164: x:-0.0712, y:2.7507, t:0.1263
 165: x:-0.1408, y:2.8153, t:-0.5124
 166: x:-0.4684, y:2.7535, t:0.2054
 167: x:-0.1204, y:2.7497, t:-0.3632
 168: x:-1.7568, y:1.7425, t:0.8042
 169: x:-1.7482, y:2.1431, t:0.8020
 170: x:-1.7717, y:1.2840, t:0.7843
 171: x:-1.7751, y:1.4179, t:0.7753
 172: x:0.3443, y:2.8019, t:-0.3550
 173: x:0.8849, y:6.7526, t:0.5132
 174: x:-1.8052, y:0.3569, t:0.8689
 175: x:-1.7549, y:1.3244, t:0.8095
 176: x:-1.7733, y:2.5866, t:0.6737
 177: x:-0.7410, y:3.0326, t:-0.6099
 178: x:-1.7579, y:2.1261, t:0.6769
 179: x:-1.7491, y:1.0692, t:0.8399
 180: x:1.7842, y:3.5067, t:0.9406
 181: x:-1.7739, y:2.3176, t:0.7105
 182: x:-1.7568, y:1.4436, t:0.7589
 183: x:-1.7534, y:0.6666, t:0.8328
 184: x:-0.6498, y:2.9327, t:-0.6910
 185: x:-1.7452, y:0.9973, t:0.7472
 186: x:-1.7694, y:5.0710, t:0.1165
 187: x:-1.7620, y:1.0760, t:0.8147
 188: x:-1.7511, y:1.5268, t:0.7143
 189: x:-1.7745, y:1.8137, t:0.7394
 190: x:-0.3111, y:2.7552, t:-0.5606
 191: x:-1.7588, y:1.6682, t:0.8521
 192: x:1.7742, y:0.4847, t:0.8407
 193: x:1.7783, y:1.4300, t:-0.1177
 194: x:1.8014, y:2.9874, t:-0.1765
 195: x:0.4139, y:2.7620, t:0.5216
 196: x:1.7480, y:5.1772, t:0.4615
 197: x:1.7664, y:0.6338, t:0.7015
 198: x:0.7919, y:6.7489, t:0.6986
 199: x:-0.5240, y:2.7642, t:-0.5230
 200: x:1.7963, y:0.7697, t:0.8820
 201: x:0.7482, y:3.0608, t:-0.8261
 202: x:-1.7686, y:1.0011, t:0.8488
 203: x:-1.8202, y:2.4307, t:0.7255
 204: x:1.7459, y:0.9598, t:0.9649
 205: x:1.8094, y:4.7051, t:0.9255
 206: x:-0.1766, y:2.8101, t:-0.2848
 207: x:-1.7562, y:1.9604, t:0.7692
 208: x:1.7720, y:2.6821, t:-0.1607
 209: x:0.1729, y:-0.8112, t:0.9465
 210: x:1.7511, y:3.4092, t:-0.8358
 211: x:0.4376, y:2.7805, t:0.4410
 212: x:-1.7972, y:1.2407, t:0.8926
 213: x:1.7446, y:2.8253, t:-0.1898
 214: x:-1.8024, y:2.0973, t:0.8427
 215: x:-1.7593, y:0.6522, t:0.7678
 216: x:1.7722, y:1.9750, t:0.8769
 217: x:1.7752, y:2.1342, t:-0.7357
 218: x:-0.1658, y:2.7784, t:0.0238
 219: x:1.7835, y:2.2287, t:-0.6767
 220: x:1.7629, y:2.3197, t:-0.8260
 221: x:1.8200, y:0.8598, t:0.7773
 222: x:0.7581, y:4.3479, t:0.0540
 223: x:-1.7910, y:1.1981, t:0.8454
 224: x:-1.7856, y:1.4782, t:0.8466
 225: x:-0.3599, y:2.7556, t:-0.1306
 226: x:-1.7503, y:1.5905, t:0.8491
 227: x:-0.6997, y:4.7337, t:0.3671
 228: x:-1.7574, y:0.9976, t:0.5851
 229: x:-1.7771, y:2.1909, t:0.6661
 230: x:-0.3336, y:2.7947, t:0.7722
 231: x:-0.3134, y:2.8121, t:-0.0369
 232: x:-1.7444, y:1.7458, t:0.7379
 233: x:-1.1384, y:4.8079, t:0.5038
 234: x:-1.7763, y:0.6984, t:0.7571
 235: x:0.4143, y:2.8214, t:-0.0260
 236: x:1.7618, y:0.6551, t:0.8560
 237: x:0.6769, y:-0.7719, t:0.9469
 238: x:-0.4960, y:2.7882, t:0.2299
 239: x:-1.7469, y:2.4294, t:0.7112
 240: x:0.7012, y:3.4155, t:0.9266
 241: x:-0.4428, y:2.7800, t:0.6311
 242: x:-1.7525, y:0.7637, t:0.7708
 243: x:-1.7614, y:1.9443, t:0.7734
 244: x:-1.7430, y:1.0493, t:0.6574
 245: x:-1.7571, y:1.9156, t:0.8050
 246: x:-1.7554, y:1.0814, t:0.5838
 247: x:-1.7546, y:1.7474, t:0.5038
 248: x:-1.7499, y:-0.5082, t:0.9883
 249: x:-0.4015, y:2.7439, t:0.3800
 250: x:0.1403, y:2.7475, t:0.3770
 251: x:1.8112, y:2.6631, t:-0.6552
 252: x:-1.2348, y:-0.7761, t:0.9994
 253: x:0.6371, y:2.7819, t:-0.2910
 254: x:1.7445, y:1.0172, t:0.9391
 255: x:-0.3437, y:2.7492, t:0.5592
 256: x:-1.7843, y:1.7953, t:0.1698
 257: x:-0.8841, y:4.7984, t:0.5153
 258: x:-0.5343, y:2.7984, t:0.5305
 259: x:-0.6369, y:2.8500, t:0.4881
 260: x:-1.0432, y:4.7684, t:0.4686
 261: x:-0.7939, y:4.8000, t:0.4138
 262: x:-0.7491, y:5.0381, t:0.4212
 263: x:-0.7253, y:2.9977, t:0.4614
 264: x:-0.7566, y:3.0060, t:0.2546
 265: x:0.1274, y:2.7852, t:0.0514
 266: x:-0.6061, y:2.8007, t:0.3551
 267: x:-0.2098, y:-0.7815, t:0.9896
 268: x:-1.7410, y:1.9022, t:0.6476
 269: x:-1.7445, y:1.1250, t:0.5224
 270: x:-0.2121, y:2.7867, t:0.4860
 271: x:-1.7519, y:2.0192, t:0.5973
 272: x:0.6679, y:3.4342, t:-0.8355
 273: x:-1.7581, y:0.7233, t:0.8327
 274: x:-1.7420, y:0.8425, t:0.6887
 275: x:-0.1389, y:-0.7868, t:0.9875
 276: x:-1.7655, y:1.0040, t:0.5462
 277: x:-1.7601, y:0.7939, t:0.8836
 278: x:0.2704, y:2.7668, t:0.3917
 279: x:-1.7732, y:1.9261, t:0.4915
 280: x:-1.7505, y:2.3944, t:0.3856
 281: x:-0.7165, y:4.3803, t:0.4279
 282: x:-1.7537, y:0.8004, t:0.6844
 283: x:-0.0143, y:2.7680, t:0.2565
 284: x:-1.7475, y:2.6426, t:0.5107
 285: x:-1.7771, y:0.6476, t:0.7534
 286: x:-1.7560, y:2.0707, t:0.7068
 287: x:1.7430, y:0.6264, t:0.9476
 288: x:1.7423, y:1.1790, t:0.9684
 289: x:-1.7867, y:2.0471, t:0.5434
 290: x:-1.7514, y:3.0651, t:0.7094
 291: x:-1.7537, y:0.9387, t:0.7535
 292: x:-1.7496, y:1.8322, t:0.6889
 293: x:-1.7854, y:3.0024, t:0.7311
 294: x:-1.7830, y:1.5022, t:0.5960
 295: x:-1.7519, y:1.9677, t:0.5181
 296: x:-1.7714, y:1.4807, t:0.5396
 297: x:-1.7414, y:1.5976, t:0.4831
 298: x:-1.7498, y:1.9345, t:0.4097
 299: x:-1.7616, y:1.2184, t:0.6776
 300: x:-0.6421, y:2.8546, t:0.3056
