 132: x:1.2472, y:1.5480, t:0.9441
 134: x:1.2905, y:1.4704, t:-0.6679
 148: x:1.2891, y:0.5657, t:-0.7398
 153: x:1.2782, y:1.1541, t:-0.7573
 165: x:-0.8433, y:-0.7566, t:-0.6304
 171: x:1.3272, y:0.2844, t:0.7632
 175: x:1.3277, y:0.0854, t:0.6302
 177: x:0.6931, y:-0.8068, t:0.0271
 178: x:1.3066, y:-0.2195, t:0.4503
 179: x:1.3232, y:0.3405, t:0.6697
 180: x:1.2682, y:0.2069, t:0.6762
 181: x:1.2574, y:0.5482, t:0.7348
 184: x:-0.4587, y:2.7977, t:0.9985
 188: x:1.2977, y:-0.1179, t:0.6438
 189: x:1.2744, y:-0.1260, t:0.6198
 192: x:1.2981, y:0.0338, t:0.5285
 194: x:1.3035, y:-0.0144, t:0.6360
 199: x:-0.3295, y:2.8151, t:0.9846
 200: x:-0.2577, y:2.7727, t:0.9867
 201: x:-0.6220, y:2.7832, t:0.9838
 202: x:-0.2969, y:2.7580, t:0.9769
 204: x:-1.2470, y:1.4307, t:0.8846
 216: x:1.2945, y:1.1640, t:-0.4101
 217: x:-0.4186, y:2.7972, t:0.9536
 218: x:-0.7287, y:3.5073, t:0.9944
 219: x:-0.3719, y:2.8199, t:0.9878
 220: x:-0.7185, y:3.1943, t:0.9970
 221: x:-0.7051, y:3.7960, t:0.9616
 222: x:-1.2419, y:1.3615, t:-0.7569
 223: x:-1.2892, y:1.5539, t:-0.7840
 224: x:-1.2806, y:1.2425, t:-0.7739
 225: x:-1.2963, y:1.8909, t:-0.8386
 226: x:-1.2661, y:1.9968, t:-0.8461
 227: x:-0.3108, y:2.7626, t:0.8985
 228: x:-0.5711, y:2.8182, t:0.9410
 229: x:-1.2830, y:1.8436, t:-0.8098
 230: x:-0.7371, y:2.9113, t:0.9438
 231: x:0.4014, y:2.7676, t:-0.8176
 232: x:-0.7146, y:2.9923, t:0.9820
 233: x:0.4812, y:2.7735, t:-0.7656
 234: x:0.2854, y:2.7834, t:-0.7780
 235: x:0.6188, y:2.8204, t:-0.8030
 236: x:1.2873, y:1.7023, t:-0.6075
 237: x:-0.6929, y:2.9373, t:0.9854
 238: x:1.2721, y:2.4772, t:-0.8360
 239: x:1.2421, y:1.9373, t:-0.6775
 240: x:1.2755, y:1.9976, t:-0.7263
 241: x:1.2902, y:1.6784, t:-0.5961
 242: x:1.2754, y:1.8128, t:-0.8049
 243: x:1.3226, y:1.4166, t:-0.7377
 244: x:-0.5524, y:2.7742, t:0.9529
 245: x:1.2434, y:1.7394, t:-0.4924
 246: x:0.6087, y:2.7859, t:-0.7518
 247: x:-1.2518, y:2.0729, t:-0.8334
 248: x:-1.2889, y:1.9869, t:-0.8265
 249: x:-0.5867, y:2.7664, t:-0.8192
 250: x:-1.2535, y:1.5700, t:-0.7726
 251: x:-1.3142, y:2.1160, t:-0.8504
 252: x:-0.6094, y:2.8107, t:-0.7737
 253: x:-1.2545, y:-0.0934, t:-0.7558
 254: x:1.3273, y:0.5335, t:-0.2908
 255: x:-0.7321, y:3.8631, t:0.9780
 256: x:-0.5315, y:2.7641, t:0.8331
 257: x:-0.6127, y:2.8065, t:0.8992
 258: x:-1.2834, y:-0.4441, t:0.2191
 259: x:0.0146, y:-0.7598, t:-0.5249
 260: x:-0.6320, y:2.8622, t:0.9447
 262: x:-1.2797, y:0.8599, t:0.9838
 263: x:-1.2730, y:0.9399, t:0.5316
 264: x:-1.3054, y:0.0048, t:-0.6761
 265: x:-1.2541, y:1.2587, t:-0.7230
 266: x:1.2695, y:-0.1163, t:-0.2166
 267: x:1.2653, y:1.7439, t:0.7913
 268: x:-1.2629, y:1.0275, t:0.5246
 269: x:-0.9423, y:-0.8062, t:0.9942
 270: x:-1.2829, y:2.6826, t:-0.7439
 271: x:-1.2902, y:0.1821, t:0.5881
 272: x:-1.2750, y:2.2424, t:0.8967
 273: x:-1.2653, y:-0.1555, t:0.7232
 274: x:0.2649, y:-0.7838, t:-0.4588
 275: x:-1.2908, y:0.5503, t:0.9807
 276: x:-1.2494, y:0.1824, t:0.6260
 277: x:-0.0341, y:2.7574, t:0.8384
 278: x:1.2560, y:1.3292, t:0.9143
 279: x:-0.2257, y:2.7794, t:0.9682
 280: x:-1.2632, y:-0.3061, t:-0.6649
 281: x:-0.5816, y:2.7749, t:0.8458
 282: x:-1.2461, y:1.5705, t:0.9739
 283: x:1.2730, y:1.0517, t:0.6096
 284: x:1.2440, y:-0.3786, t:0.1697
 285: x:-0.6796, y:2.9420, t:0.9215
 286: x:-1.2591, y:1.4838, t:0.9662
 287: x:-0.0192, y:-0.7506, t:0.1466
 288: x:-1.2437, y:1.4299, t:0.5801
 289: x:-1.2407, y:0.0810, t:-0.4535
 290: x:1.2771, y:1.8880, t:0.5768
 291: x:-0.6476, y:-0.7576, t:-0.4696
 292: x:-1.3150, y:2.7155, t:-0.8486
 293: x:-1.2637, y:1.3900, t:0.9646
 294: x:-1.2518, y:2.2653, t:-0.8111
 295: x:-0.7644, y:-0.7554, t:-0.4945
 296: x:-1.2446, y:2.3514, t:-0.8087
 297: x:-1.2533, y:3.4741, t:0.9891
 298: x:-1.2501, y:1.8385, t:-0.7566
 299: x:-1.2604, y:2.9256, t:0.9663
 300: x:1.2496, y:0.3327, t:-0.1207
 301: x:1.2787, y:0.2649, t:-0.2292
 302: x:-1.2605, y:2.7639, t:0.9244
 303: x:-1.3276, y:2.0148, t:-0.8306
 304: x:0.2339, y:-0.7577, t:-0.3821
 305: x:0.9238, y:-0.7656, t:-0.2808
 306: x:0.3157, y:-0.7981, t:-0.4110
 307: x:1.2933, y:0.6395, t:-0.0608
 308: x:1.2671, y:-0.1823, t:-0.2462
 309: x:-0.4064, y:2.7713, t:0.9620
 310: x:-1.2778, y:1.0079, t:0.9666
 311: x:0.8121, y:-0.7848, t:-0.3775
