   1: x:-1.2696, y:0.3624, t:-0.5499
   2: x:-1.2820, y:-0.2638, t:-0.3985
   3: x:-1.2421, y:0.9596, t:-0.6980
   4: x:-1.2786, y:0.2077, t:-0.4418
   5: x:-1.2485, y:-0.0875, t:-0.3232
   6: x:-1.2479, y:0.8062, t:-0.4829
   7: x:-1.2515, y:0.3079, t:-0.2534
   8: x:-1.2411, y:-0.1701, t:-0.3075
   9: x:-1.2488, y:0.5621, t:-0.4726
  10: x:1.2641, y:2.2556, t:0.9635
  11: x:-0.2496, y:2.6807, t:-0.7153
  12: x:-0.7328, y:3.3308, t:-0.6486
  13: x:-1.2490, y:1.9066, t:-0.3559
  14: x:0.1601, y:2.5805, t:-0.5029
  15: x:-1.2469, y:0.1896, t:-0.1332
  16: x:-1.2571, y:0.7771, t:-0.1393
  17: x:-0.7606, y:3.1990, t:-0.3128
  18: x:-0.7304, y:3.2390, t:-0.3035
  19: x:-0.7541, y:3.3389, t:-0.2434
  20: x:-0.7457, y:3.0625, t:-0.2526
  21: x:-1.2739, y:0.1321, t:0.0821
  22: x:-1.2509, y:0.0227, t:0.0518
  23: x:-1.2624, y:0.1196, t:0.0801
  24: x:-1.2534, y:0.3524, t:0.0801
  25: x:-1.2709, y:-0.0100, t:0.1898
  26: x:-1.2562, y:-0.2096, t:0.2241
  27: x:-1.2635, y:-0.1882, t:0.2914
  28: x:-1.2777, y:-0.0029, t:0.1925
  29: x:-1.2819, y:0.2834, t:0.3627
  30: x:-1.2702, y:-0.1410, t:0.4244
  31: x:-1.3206, y:-0.4130, t:0.4407
  32: x:-1.2525, y:-0.0370, t:0.4989
  33: x:-1.2467, y:-0.2646, t:0.5093
  34: x:-1.2734, y:-0.1491, t:0.6143
  35: x:-1.2801, y:-0.3076, t:0.7443
  36: x:-1.2567, y:-0.2628, t:0.6053
  37: x:-1.2860, y:-0.2867, t:0.5710
  38: x:-1.2929, y:-0.3925, t:0.5826
  39: x:-1.2664, y:-0.2515, t:0.6820
  40: x:-1.3059, y:-0.6151, t:0.6212
  41: x:-1.3017, y:-0.3183, t:0.6046
  42: x:-1.2751, y:-0.1114, t:0.6497
  43: x:-1.2457, y:-0.2986, t:0.5862
  44: x:-1.2932, y:-0.5503, t:0.5768
  45: x:-1.3223, y:-0.3127, t:0.5605
  46: x:-1.2872, y:-0.2285, t:0.6572
  47: x:-1.2678, y:-0.2244, t:0.6208
  48: x:-1.3011, y:-0.1244, t:0.6186
  49: x:-1.2468, y:-0.4892, t:0.5958
  50: x:-1.2438, y:-0.4610, t:0.5737
  51: x:-1.2501, y:-0.1303, t:0.6610
  52: x:-1.2624, y:-0.3476, t:0.5799
  53: x:-1.2643, y:-0.3859, t:0.6102
  54: x:-1.2935, y:-0.4768, t:0.5612
  55: x:-1.2600, y:-0.0920, t:0.5800
  56: x:-1.2698, y:-0.1286, t:0.6238
  57: x:-1.2777, y:-0.3983, t:0.5828
  58: x:-1.3092, y:-0.7081, t:0.6083
  59: x:-1.2784, y:-0.5475, t:0.5992
  60: x:-1.3089, y:-0.5074, t:0.6321
  61: x:-1.2844, y:-0.1653, t:0.6530
  62: x:-1.2797, y:-0.4696, t:0.5923
  63: x:-1.2448, y:-0.2781, t:0.6074
  64: x:-1.2746, y:-0.2409, t:0.6029
  65: x:-1.2605, y:-0.4842, t:0.6264
  66: x:-1.3062, y:-0.4271, t:0.6241
  67: x:-1.2965, y:-0.1405, t:0.6370
  68: x:-1.2968, y:-0.4204, t:0.5444
  69: x:-1.2642, y:-0.3086, t:0.5783
  70: x:-1.2965, y:-0.5776, t:0.5952
  71: x:-1.2488, y:-0.2929, t:0.5233
  72: x:-1.3109, y:-0.3444, t:0.5835
  73: x:-1.2936, y:-0.1921, t:0.6436
  74: x:-1.2660, y:-0.3088, t:0.4906
  75: x:-1.2677, y:-0.5113, t:0.5264
  76: x:-1.3238, y:-0.1976, t:0.5480
  77: x:-1.3028, y:-0.2618, t:0.4978
  78: x:-1.2602, y:-0.2867, t:0.5022
  79: x:-1.3269, y:-0.3911, t:0.5443
  80: x:-1.2994, y:-0.1666, t:0.5028
  81: x:-1.2621, y:-0.0257, t:0.4714
  82: x:-1.2609, y:-0.0708, t:0.4684
  83: x:-1.3165, y:-0.0988, t:0.4776
  84: x:-1.3129, y:-0.3507, t:0.5129
  85: x:-1.2578, y:-0.4755, t:0.4199
  86: x:-1.2878, y:-0.1709, t:0.4395
  87: x:-1.2671, y:-0.2687, t:0.4509
  88: x:-1.2809, y:-0.3309, t:0.5463
  89: x:-1.2801, y:-0.3649, t:0.5437
  90: x:-1.2996, y:-0.0873, t:0.4681
  91: x:-1.2584, y:-0.3849, t:0.4441
  92: x:-1.3314, y:-0.1786, t:0.4817
  93: x:-1.2957, y:-0.1786, t:0.4154
  94: x:-1.2700, y:-0.0644, t:0.4269
  95: x:-1.2864, y:-0.3959, t:0.4829
  96: x:-1.2938, y:-0.1427, t:0.3933
  97: x:-1.2436, y:-0.1375, t:0.3513
  98: x:-1.2828, y:-0.2956, t:0.4434
  99: x:-1.2896, y:-0.3989, t:0.3851
 100: x:-1.3133, y:-0.3865, t:0.4392
